Scheme Name	Asset Value
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	20.7555
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.7109
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	10.9065
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.2897
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	20.0257
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.6429
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	10.8426
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.2900
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1406.7182
SBI BANKING & PSU FUND - Direct Plan - Growth	3193.6558
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1275.4547
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1403.5922
SBI BANKING & PSU FUND - Regular Paln - Growth	3009.0792
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1372.8262
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1198.8802
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1372.5333
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.0847
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	42.1468
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5182
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	20.9658
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	41.5764
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5705
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1253.6586
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1228.3204
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1135.3638
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1255.8887
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1109.5725
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1132.2057
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1092.4742
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1111.1379
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1192.1581
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1092.0851
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1109.5442
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1077.2284
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.2345
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	18.5727
UTI Banking & PSU Fund - Direct Plan - Growth Option	21.5528
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	14.3019
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.2043
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16.0415
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	13.0096
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14.2208
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.1612
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	12.9988
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	14.5524
UTI Banking & PSU Fund- Regular Plan - Growth Option	21.2057
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	111.0077
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	109.2192
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.3362
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.6837
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	11.618
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.496
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2346
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.1901
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	13.5742
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3641
Axis Corporate Bond Fund - Direct Plan Growth	17.3994
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2335
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.1863
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	12.7266
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2461
Axis Corporate Bond Fund - Regular Plan Growth	16.4721
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.9184
BANDHAN Corporate Bond Fund - Direct Growth	19.1156
